Author,Rating,Helpful_upVotes,Helpful_downVotes,Summary,Review,Compound,Sentiment_label,Negative,Neutral,Positive
maddox-richard,6.0,28,28,beautifully made tragedy schematic contrived,watched hence ramble beautifullymade film terrific performance see many people find extremely powerful tragedy wonder tackle much length medium there much say hour conventionalish movie without overtly manipulating audiencepersonally problem many fictional film type though understand reaction common one film take extremely shocking despicable event could real could happened sometimes happen film event realistically ask audience dive get story would piece riveting fictional drama godfather etc time insist film element reality quasidocumentary almost truthful currently happening quality yet screenplay unfolding drama real greek tragedy say carefully scripted storyboarded shock amuse provoke play drama movie still another godfather matrix documentary record event event happened like cake eating taking ironyfilled messageladen impactful stage play putting package realistic contemporary actiondrama thriller mystery tragedy think another director played fictional greek tragedy heightened ironic drama written stage aspect would loved eg audience understood manipulated sake great drama conversely think director made similar movie based true story without central shocking irony would loved he great directornot meaning compare different film different intention perhaps conflicting said far liked way roman polanskis death maiden keep stage play aspect original didnt enjoy kite runner mixing fact fiction action rescue ending im fan film take real event work drama finish revealing actual protagonist real life europa europa example im fan city god obviously complete fiction hollywood style shootemup rather state address im huge fan sergei bodrovs prisoner mountain film depicting theme war religious conflict fairly realistic way somehow nice balance filmed play something happening right carry universal truthsi dont comment often imdb think film extreme nature incendies central twist probably worth recording people different reactionsfinally think director one best recent time congratulate film despite taste,0.9591,positive,0.152,0.621,0.227
aboood-64006,10.0,3,1,legendary plot twist,ending incendies shocking deeply emotional offering masterful conclusion intense journey tie together complex web secret family history brutal yet poetic revelation film exploration identity war forgiveness culminates moment hauntingly unforgettable director denis villeneuve craft powerful narrative leaving viewer grapple consequence hidden truth ending doesnt resolve plotit force audience confront darker side humanity making profound cinematic experience,-0.6475,negative,0.203,0.626,0.171
tonyg-69022,10.0,3,1,masterpiece,doubt one best world cinema film ever seen absolute masterpiece,0.7783,positive,0.14,0.393,0.466
labng,7.0,2,0,politics aside great story moving film,im sure particular politics really matter much think could drop story civilly torn nation time history little change ending may clean didnt take away enjoyment movie high praise given choice war story typically high list goto viewing felt like fable fairytale found story visuals beautiful,0.6672,positive,0.175,0.562,0.263
Gordon-11,8.0,4,2,must watch,film tell story young woman twin brother go lebanon search mother past instructed mother discover one heartbreaking fact another shaking ultimate core brother existencejust like twin unprepared shocking emotional roller coaster unfolds gradually thought could worse thing turn worse sad film somehow there still hope love forgiveness air ending profoundly powerful leaf paralysed thought entranced emotion incendies must watch,-0.1531,negative,0.209,0.589,0.202
kafandiyev,10.0,9,10,rare piece gem,wonder could make watch hr long movie dont like movie regarding middle eastern war thought watching one gave chance wasnt intending finish wondered movie rated quite long movie actually dont feel dont complain watch till end slow pace easily adapted even make ask morethe movie contains many flashback first look like historical review situation day realize real mastery telling story front strong historical background flashback real time connected end movie way feel like there way understand really feel moviethe story comparable one least havent watched movie strong different scenario powerful moviethis movie deserves applause kind rewardsi strongly advise movie everyone yr old feel good fun time family movie good piece art master workim happy watched,0.9714,positive,0.083,0.676,0.241
milija17,9.0,7,7,strong antiwar antireligion message,movie isnt intellectual let alone falsely intellectual claim movie powerful message war id say religion well author cleverly place story particular country cause story universal war religion make sense anywhere religion doesnt make sense either start sure movie flaw two id say greatest terrible cast role brother couldnt probably act even high school miraculously ended herei cant decide movie pathetic emotional could done adding classical music artistic point view probably needless however maybe would reach people pathos would probably create greater emotional response message would get farther,0.7926,positive,0.142,0.611,0.247
ibrahimach,10.0,9,11,heart inconsolably broken,hit truck movie incendies best absorbing emotionally enthralling movie ever witnessed yr profoundly unutterably movedaffectedright essence beingam speechless overwhelmedshakento c r emade crynever film smashed heart countless piece serious somber joke make laughwill never personam walking cadaver dead yet still alivei less body spiriti honestly feel soul awakenedmaybe happy happinessperhapsbut dont care happiness longermeans nothingafter incendies ate ravaged heart,-0.0299,neutral,0.187,0.642,0.172
juanpimartinez,9.0,7,8,might get burned,first second enough mean able capture course continues whole movie know blessed good film particularly like way movie begin believe favorite part movie hearing radiohead song whose army watching little boy sight way look u two eye full anger passion pain second perfect taste coming next great opening great tough movie story family courage sacrifice recommend film want get real,0.9776,positive,0.097,0.511,0.392
secondtake,9.0,7,8,gutwrenching intense beautiful searing yes scorching,incendies scorched good translation french title thats youll feel endthis canadian movie based play lebanese writer set mostly jordan tale twin brother sister son daughter looking root death mother quite amazingdont think feelgood flick show first better almost movie ive seen reality life wartime mideast pick country ruthless bloody sectarian violence made intimate worst way best way cinematicallyyou hate feel huge strength movie giving light dilemma ordinary people trying survive literally mayhemequally important daughter view mother change learns daughter forced request mother take recent jordan utter determinationthe movie divided two time period first belongs mother ongoing series harrowing flashback second belongs daughter eventually son look surviving member mother past steely force daughter turn mere shadow strength mother droop admiration sympathy themthe huge dramatic hook movie learn character learn end movie isnt something talk outrageousness put shakespeare shameand also distraction jaw drop think oh awful part brain also saying much isnt contributing truth emotional depth charactersit might even undermine slightly reminding u stage play artificebut thats nagging quibble really powerful movie beautifully rendered acted unusual intensity rough realistically violent spot worth wow,0.8195,positive,0.179,0.603,0.218
drumgod101,10.0,9,13,better greek tragedy,good watching canadienfrench film incendies second time thought must based novel play needed find know based play wajdi mouawad mouawad canadien writer delight incendies part series four play mean three incendieslike play still read wont go rundown plot talk abstraction arch character symbiosis lackthereof ton proper film review already dealing topic thought id talk two thing two thing thought make outstanding film photography remarkable unfolding dramatic story better film critic say real film critic said film pull tragedy better greek photography photography photography good second time first time saw film open village could mistaken greece israel thought maybe set shot palestine think film actually shot jordan thesis shot actually set portray fictional lebanon past modern day history intertwined movie seems loosely fictional cant find information place appear film lebanese civil war history little rusty anyone elsethere two shot particular stand shot distance reveal vastness landscape unmistakably mediterranean rocky tree im tree expert must olive fig tree almost overused prototypical symbol med work great first shot like actually two shot meaning one type shot used twice almost identically bus traveling skinny mountainside road first camera close pan way show whole panoramic view massive landscape tiny bus common technique world film shot exotic landscape shot similar later film one character driving modern day deressa refugee camp shot taken sky winding road leading side mountain shot amazing whatever effect filter photographer added make fit film tone well cant think better word use describe shot cinematic know thats terrible term use describing cinema really shot like expressive wellplaced film nothing going film excepts visuals shot stand artistic filmmaking achievementthe storyline storyline storyline unfolds precision textbook tragedy set conflict right top find missing brother father drama unfolds story becomes complex adding twist turn plot never even thought possible end left remains challenge oedipus king magnitude without fall grace film still manage exit scene sparkle hope forgiveness let audience breath little easier film close catharsis even story film haunt subconscious good review drumgodchrisblogspotcom,0.9879,positive,0.081,0.737,0.182
krisrox,6.0,9,11,nasty surprise,incendies movie really wanted like refreshing several level featuring pleasantly strange locale quebec lebanon good sense pace cover hitherto unseen moment modern history good eye detailstill tempted give movie lowest score possible primarily butchering story towards end going type plot amateur screenwriter fall exciting paper hopelessly shallow practice go see contrived completely undermines realistic feel director fought hard establish furthermore im sick movie create drama graphically depicting violence child get mids lebanon hell hole denis refrain using sledgehammer unless story absolutely need make movie intelligent,-0.7197,negative,0.226,0.6,0.174
gelman@attglobal.net,9.0,3,2,short perfect,fact plot tied neat bow end incendies would perfect movie told present past film trace effort twin jeanne melissa desormeauxpoulin simon maxim gaudette carry wish dead mother lubna araval find deliver letter father lost brother twin go lebanon jeanne conviction simon reluctantly dont quite know begin brother mother illegitimate son sent orphanage much quickly established film follows search also play back event lebanese civil war separated mother child father twin search fully way viewer initially bit confused part present part past m desormeauxpoulin look time much like m araval didnt always know whether witnessing search daughter war time travail mother minor problem soon enough two element search war diverge context identifies daughter mother two woman handle role superbly simon necessary player gaudette adequate role event subsidiary mother daughteri wont reveal ending however war time scene depicted convincing brutality indifference suffering characterized lebanese civil war appalling film might one actually happened addition camera focused bleak landscape outside village town add sense close real life possible geta suggested beginning review found ending pat much convenient certainly dramatic others may find convincing,-0.9565,negative,0.194,0.686,0.119
yusufuveyskaplan,10.0,3,2,legendary movie,movie everyone watch perfect subject feeling emotion leading role,0.6369,positive,0.0,0.574,0.426
cris_tian_,10.0,3,2,underrated film today yesterday,film masterpieceintense deeply impactful explores conflict middle east without delving deeply historical context yet effectively conveys situation emotion story unfolds two alternating perspective piece together puzzle mother nawal past child jeanne simon present dynamic approach enhances sense mysteryas ending truly powerful making question perspective viewer deeply moving experience complemented stunning cinematography outstanding performance,0.9353,positive,0.039,0.693,0.268
Movie_Rating_n_Ranking,9.0,3,2,really know much,many time celebrate display one culture another many time learning culture full wonderful story incredible people sometimes immersing foreign culture far desired information paradise occasion realize lucky born born even worst problem ordealsthis movie beautiful heartbreaking sense raw like worst life unpredictable like worst war couple simultaneous trip different time show u worst atrocity committed war conflict consequence explicit unspoken story timegreat directing work excellent editing photographyrecommended people trained criterion,-0.4588,negative,0.284,0.441,0.275
Rendanlovell,10.0,3,2,beautifully haunting,incendies film put director denis villeneuve map prisoner enemy sicario belt villeneuve become one eye catching director working today like film incendies string together cobweb like story watch pair twin venture middle east search father brother final wish recently departed mother although film twin finding mother naturally film avoid heavy spoiler keep film experience leave thatand film experience even though film run fairly long two hour twenty minute run time incendies accomplishes time remarkable able draw hold attention entire run time story unlike anything ever see slow burning thriller hit every beat youd expect every beat dont expect way everything feel completely natural progressive control villeneuve film insane every single person involved front behind camera superb job villeneuve know want film get exactly thatits beautiful film able manipulate audience utter ease beautifully constructed film beautiful film look may roger deakins shot prisoner sicario incendies seems take note gritty realistic look employ style like film incendies ending knock flat ending would near effective anyone elses hand cut flashback reality way keep film becoming predictable film concludes come complete shock could go miraculous film think leave desire see film please go purchase assure incendies film never forget beautifully constructed film enough style keep body interested,0.9894,positive,0.088,0.671,0.241
itzel_vazquez,10.0,4,4,underrated master piece,great movie almost disturbing excellent photography direction acting specially writing moment could little slow doesnt matter end really well builded best example make quite shocking movie almost blood graphic scene great story,0.9283,positive,0.121,0.483,0.396
